Ciclabile Aniene; 41.937151; 12.527452
Colle Oppio; 41.891593; 12.496418
Convento Nomentana; 41.924540; 12.523747
Parchetto dei Galli; 41.921532; 12.522627
Parco dei Daini; 41.915472; 12.491985
Parco della Caffarella; 41.864920; 12.522613
Parco delle Valli; 41.939656; 12.522775
Parco Don Enzo Boni; 41.933710; 12.519156
Parco Filippo Meda; 41.912592; 12.545813
Parco Virgiliano; 41.925426; 12.510588
Pincio; 41.911051; 12.479820
Villa Ada; 41.930702; 12.502056
Villa Blanc; 41.923024; 12.522185
Villa Borghese; 41.913567; 12.484158
Villa Chigi; 41.933222; 12.516468
Villa Glori; 41.930524; 12.480634
Villa Leopardi; 41.926208; 12.521774
Villa Mirafiori; 41.918699; 12.516893
Villa Pamphili; 41.884090; 12.446756
Villa Torlonia; 41.913707; 12.512150
