Bulbasaur;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Chansey;Fai schiudere 5 uova;1
Charmander;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Dratini;Cattura un Pokemon di tipo Drago;1
Eevee;Evolvi un Pokemon;0
Electabuzz;Utilizza una mossa caricata superefficace in 7 lotte;0
Exeggcute;Fai schiudere un uovo;0
Feebas;Scambia un Pokemon;0
Gastly;Effettua 3 ottimi tiri;0
Golduck;Lancia 3 palle curve di fila;0
Jynx;Vinci 3 sfide in palestra;0
Lanturn;Fai schiudere un uovo;0
Larvitar;Effettua 3 tiri eccellenti di fila;1
Machop;Lotta in una palestra 3 volte;0
Magikarp;Cattura 10 Pokemon;0
Magmar;Fai schiudere 3 uova;0
Mankey;Lotta in una palestra;0
Misdreavus;Trasferisci 10 Pokemon;0
Numel;Cattura 3 Pokemon di tipo erba, acqua o fuoco;0
Onix;Effettua 3 tiri ottimi di fila;0
Poliwag;Cattura 5 Pokemon potenziati dalle condizioni atmosferiche;0
Porygon;Vinci un raid;0
Spinda;Lancia una palla curva con risultato ottimo;0
Squirtle;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Voltorb;Effettua 5 bei tiri;0
Vulpix;Cattura 5 Pokemon potenziati dalle condizioni atmosferiche;0
